Method,K_p,K_i,K_d,total,tracking,overshoot_cost,control,omega_final,omega_max,omega_min,omega_abs_max,overshoot,overshoot_percent,settling_time,steady_state_error,steady_state_error_percent,voltage_max_abs,saturation_fraction,saturation_percent,valid,constraint_stable,constraint_overshoot,constraint_steady_state_error,constraint_settling_time,constraint_saturation,feasible,objective,penalized,trial,objective_model_target,used_penalty_in_objective_model,g_overshoot,g_steady_state_error,g_settling_time,g_saturation,expected_improvement,feasibility_probability,constrained_expected_improvement,feasible_best_so_far,feasible_count_so_far
Feasibility-aware BO,1.2061428631227524,2.036074539132183,0.008585979199113825,0.03803648469993072,0.00014898515096165116,0.0,0.2529806240623582,12.5999959906531,12.5999959906531,0.0013940249450132166,12.5999959906531,0.0,0.0,1.939,6.821033637034845e-07,6.821033637034844e-05,12.0,0.0052994700529947,0.52994700529947,True,True,True,True,True,True,True,0.03803648469993072,False,1,0.03803648469993072,False,-0.1,-0.019999317896636296,-0.06099999999999994,-0.0447005299470053,,,,0.03803648469993072,1
Feasibility-aware BO,1.106578437777173,0.8296207176067734,0.00975622351636756,0.03605024053796396,0.0007613916306623862,0.0,0.23728937039711023,12.585156867357927,12.585156867357927,0.0013940249450132166,12.585156867357927,0.0,0.0,4.877,0.0015729511204463722,0.15729511204463723,12.0,0.0037996200379962005,0.37996200379962003,True,True,True,True,False,True,False,0.03605024053796396,False,2,0.03605024053796396,False,-0.1,-0.01842704887955363,2.877,-0.0462003799620038,,,,0.03803648469993072,1
Feasibility-aware BO,1.189481612587459,3.2512250684693385,0.0012811363267554588,0.038645516964568825,7.796776222009754e-05,0.0,0.25732490871491176,12.59999999987439,12.59999999987439,0.0013940249450132166,12.59999999987439,0.0,0.0,1.121,4.20057639465605e-11,4.20057639465605e-09,12.0,0.005699430056994301,0.5699430056994301,True,True,True,True,True,True,True,0.038645516964568825,False,3,0.038645516964568825,False,-0.1,-0.019999999957994237,-0.879,-0.0443005699430057,,,,0.03803648469993072,2
Feasibility-aware BO,0.7855017192642373,1.7977930848140344,0.009267649888486018,0.03794892405799974,0.000140293532861818,0.0,0.25243165292188435,12.599999936112056,12.599999936112056,0.001152390917381884,12.599999936112056,0.0,0.0,1.494,1.4094783893817351e-08,1.4094783893817352e-06,9.931038816102452,0.0,0.0,True,True,True,True,True,True,True,0.03794892405799974,False,4,0.03794892405799974,False,-0.1,-0.01999998590521611,-0.506,-0.05,,,,0.03794892405799974,3
Feasibility-aware BO,1.037024656104864,3.379665646447905,0.004434141988273311,0.03883718996387983,6.323899698292376e-05,0.0,0.25866164377126716,12.599999999999806,12.599999999999806,0.0013940249450132166,12.599999999999806,0.0,0.0,0.792,8.924078407463164e-14,8.924078407463163e-12,12.0,0.0033996600339966003,0.33996600339966004,True,True,True,True,True,True,True,0.03883718996387983,False,5,0.03883718996387983,False,-0.1,-0.01999999999991076,-1.208,-0.0466003399660034,,,,0.03794892405799974,4
Feasibility-aware BO,0.49541033832021,2.4410467545554217,0.0006381725610417532,0.03853330299373065,0.00012570868118238357,0.0005129770099827026,0.255530890216837,12.5999999999999,12.88537734686701,0.0007287181121887836,12.88537734686701,0.022648995783096048,2.264899578309605,0.932,7.894919286223336e-15,7.894919286223336e-13,7.4040118698507555,0.0,0.0,True,True,True,True,True,True,True,0.03853330299373065,False,6,0.03853330299373065,False,-0.07735100421690395,-0.019999999999992104,-1.068,-0.05,,,,0.03794892405799974,5
Feasibility-aware BO,1.2759205235903568,2.710825396927227,0.007580877400853739,0.03841124596713069,0.00010112831469456934,0.0,0.25567045985542636,12.599999950697313,12.599999950697313,0.0013940249450132166,12.599999950697313,0.0,0.0,1.467,1.1052047601615703e-08,1.1052047601615702e-06,12.0,0.006199380061993801,0.6199380061993801,True,True,True,True,True,True,True,0.03841124596713069,False,7,0.03841124596713069,False,-0.1,-0.0199999889479524,-0.5329999999999999,-0.0438006199380062,,,,0.03794892405799974,6
Feasibility-aware BO,0.660883758568829,3.8974430853821613,0.008931211213221976,0.04067998067230143,8.186413469730964e-05,0.006153572610820615,0.26061646025851926,12.600000000000104,13.588403352733023,0.0009730576569859233,13.588403352733023,0.07844471053436691,7.844471053436691,0.902,8.599822793921848e-15,8.599822793921849e-13,9.345053158467437,0.0,0.0,True,True,True,True,True,True,True,0.04067998067230143,False,8,0.04067998067230143,False,-0.021555289465633093,-0.0199999999999914,-1.0979999999999999,-0.05,,,,0.03794892405799974,7
Feasibility-aware BO,0.20520988615334135,0.5580293066414492,0.009930845819305065,0.03499319697969792,0.001752251832686289,0.0,0.2262789725339076,12.599736195057783,12.599736195057783,0.000301187887386316,12.599736195057783,0.0,0.0,3.536,3.729681120968203e-05,0.0037296811209682032,5.999847970168044,0.0,0.0,True,True,True,True,False,True,False,0.03499319697969792,False,9,0.03499319697969792,False,-0.1,-0.01996270318879032,1.536,-0.05,0.0021082775994592648,0.1766772902244304,0.00037248477331332995,0.03794892405799974,7
Feasibility-aware BO,0.36632466179126344,1.4017837197172078,0.009069552232425624,0.037384617077166324,0.00030353642829584326,8.090682794905118e-08,0.24801649995654557,12.600000000000236,12.603583959821927,0.0005382508298825177,12.603583959821927,0.00028444125570854025,0.028444125570854024,1.133,6.541504551442193e-14,6.541504551442193e-12,6.0159374128629715,0.0,0.0,True,True,True,True,True,True,True,0.037384617077166324,False,10,0.037384617077166324,False,-0.09971555874429147,-0.019999999999934584,-0.867,-0.05,0.00029064593940802415,0.3079718649165779,8.951077198991991e-05,0.037384617077166324,8
