Controller,test_group,condition,condition_label,seed,J_total,J_tracking,J_overshoot,J_control,overshoot,overshoot_percent,settling_time,steady_state_error_percent,voltage_max_abs,saturation_percent,omega_final,disturbance_recovery_time,R,J_m,load_step_value,sensor_noise_sigma,load_step_time,J_nominal,performance_degradation_percent
Manual PID,nominal,nominal,Nominal,,0.03817651842324221,0.00011397909891356004,0.0,0.2540542064259605,0.0,0.0,1.322,2.158820987935383e-07,10.24280250329377,0.0,12.599999991380132,,0.18644,0.013767,0.0,0.0,,0.03817651842324221,0.0
Optimized PID,nominal,nominal,Nominal,,0.03670217885813229,0.0006108587109045579,7.49975522750603e-09,0.24223774504433834,8.660112717226047e-05,0.008660112717226047,1.547,4.709601315635299e-10,6.001635261197194,0.0,12.600000000000694,,0.18644,0.013767,0.0,0.0,,0.03670217885813229,0.0
RL Direct Voltage Control,nominal,nominal,Nominal,,0.03490333789728869,0.007779457009577775,0.0,0.20157109127694683,0.0,0.0,inf,12.430303946984317,12.0,0.5999400059994,11.033781700315744,,0.18644,0.013767,0.0,0.0,,0.03490333789728869,0.0
Manual PID,resistance,R_0.8x,R = 0.8 R0,,0.02535591530899128,7.338212751828037e-05,0.0,0.1687459068832021,0.0,0.0,1.123,6.00994386532182e-08,10.23666774646332,0.0,12.599999997764815,,0.149152,0.013767,0.0,0.0,,0.03817651842324221,-33.58243141010374
Optimized PID,resistance,R_0.8x,R = 0.8 R0,,0.02440155977229199,0.00041207132496927216,2.111681781721379e-06,0.16102526037909998,0.0014531626824693025,0.14531626824693025,1.177,2.7702707852551525e-11,4.881205578689618,0.0,12.599999999998927,,0.149152,0.013767,0.0,0.0,,0.03670217885813229,-33.514683510716935
RL Direct Voltage Control,resistance,R_0.8x,R = 0.8 R0,,0.024388982653627753,0.005754049332058491,0.0,0.1395770203626177,0.0,0.0,inf,10.693220446443826,12.0,0.58994100589941,11.2526542251109,,0.149152,0.013767,0.0,0.0,,0.03490333789728869,-30.12421125624692
Manual PID,resistance,R_1.0x,R = R0,,0.03817651842324221,0.00011397909891356004,0.0,0.2540542064259605,0.0,0.0,1.322,2.158820987935383e-07,10.24280250329377,0.0,12.599999991380132,,0.18644,0.013767,0.0,0.0,,0.03817651842324221,0.0
Optimized PID,resistance,R_1.0x,R = R0,,0.03670217885813229,0.0006108587109045579,7.49975522750603e-09,0.24223774504433834,8.660112717226047e-05,0.008660112717226047,1.547,4.709601315635299e-10,6.001635261197194,0.0,12.600000000000694,,0.18644,0.013767,0.0,0.0,,0.03670217885813229,0.0
RL Direct Voltage Control,resistance,R_1.0x,R = R0,,0.03490333789728869,0.007779457009577775,0.0,0.20157109127694683,0.0,0.0,inf,12.430303946984317,12.0,0.5999400059994,11.033781700315744,,0.18644,0.013767,0.0,0.0,,0.03490333789728869,0.0
Manual PID,resistance,R_1.2x,R = 1.2 R0,,0.05353174721485984,0.0001662351516025967,0.0,0.3562133741593219,0.0,0.0,1.512,7.250086950547383e-07,10.249693200040307,0.0,12.599999968968246,,0.22372799999999998,0.013767,0.0,0.0,,0.03817651842324221,40.22165830153131
Optimized PID,resistance,R_1.2x,R = 1.2 R0,,0.05127240214646722,0.0008520645031754494,1.9929324709462343e-19,0.3384077562970797,4.464227224219478e-10,4.4642272242194775e-08,1.921,5.133727658147339e-09,7.148577381202513,0.0,12.600000000180499,,0.22372799999999998,0.013767,0.0,0.0,,0.03670217885813229,39.698524015847454
RL Direct Voltage Control,resistance,R_1.2x,R = 1.2 R0,,0.04674874159897962,0.010151594558714918,0.0,0.27105189909167116,0.0,0.0,inf,14.185840662848115,12.0,0.6099390060993901,10.812584117486352,,0.22372799999999998,0.013767,0.0,0.0,,0.03490333789728869,33.937738953646296
Manual PID,inertia,J_0.8x,J_m = 0.8 J0,,0.0377454131308814,0.00010905324268802277,0.0,0.25119987456845727,0.0,0.0,1.455,6.556800252655743e-07,10.20119530968786,0.0,12.599999971924326,,0.18644,0.0110136,0.0,0.0,,0.03817651842324221,-1.129242031924916
Optimized PID,inertia,J_0.8x,J_m = 0.8 J0,,0.03632144212910068,0.0005700426950822384,0.0,0.2398627767470089,0.0,0.0,1.78,8.51244295510754e-08,5.99993530960281,0.0,12.59999999710773,,0.18644,0.0110136,0.0,0.0,,0.03670217885813229,-1.0373681914180162
RL Direct Voltage Control,inertia,J_0.8x,J_m = 0.8 J0,,0.03464153937373629,0.007762424648361471,0.0,0.19989389723146272,0.0,0.0,inf,12.430303951257978,12.0,0.52994700529947,11.033781697993971,,0.18644,0.0110136,0.0,0.0,,0.03490333789728869,-0.7500672982131407
Manual PID,inertia,J_1.0x,J_m = J0,,0.03817651842324221,0.00011397909891356004,0.0,0.2540542064259605,0.0,0.0,1.322,2.158820987935383e-07,10.24280250329377,0.0,12.599999991380132,,0.18644,0.013767,0.0,0.0,,0.03817651842324221,0.0
Optimized PID,inertia,J_1.0x,J_m = J0,,0.03670217885813229,0.0006108587109045579,7.49975522750603e-09,0.24223774504433834,8.660112717226047e-05,0.008660112717226047,1.547,4.709601315635299e-10,6.001635261197194,0.0,12.600000000000694,,0.18644,0.013767,0.0,0.0,,0.03670217885813229,0.0
RL Direct Voltage Control,inertia,J_1.0x,J_m = J0,,0.03490333789728869,0.007779457009577775,0.0,0.20157109127694683,0.0,0.0,inf,12.430303946984317,12.0,0.5999400059994,11.033781700315744,,0.18644,0.013767,0.0,0.0,,0.03490333789728869,0.0
Manual PID,inertia,J_1.2x,J_m = 1.2 J0,,0.038627015851165215,0.00012321987381967887,0.0,0.25702055951248937,0.0,0.0,1.1400000000000001,4.677953967753666e-08,10.28809419723466,0.0,12.599999998299099,,0.18644,0.016520399999999998,0.0,0.0,,0.03817651842324221,1.1800380090415388
Optimized PID,inertia,J_1.2x,J_m = 1.2 J0,,0.03711703979638292,0.0006663460632660646,3.77064026208142e-05,0.24471870371845386,0.006140553934362453,0.6140553934362453,1.363,3.794903016168541e-08,6.1004493260905885,0.0,12.599999997942142,,0.18644,0.016520399999999998,0.0,0.0,,0.03670217885813229,1.1303441679967459
RL Direct Voltage Control,inertia,J_1.2x,J_m = 1.2 J0,,0.03516475770786799,0.007800132570301733,0.0,0.20323118777124635,0.0,0.0,inf,12.430303944386676,12.0,0.64993500649935,11.033781703602775,,0.18644,0.016520399999999998,0.0,0.0,,0.03490333789728869,0.7489822645289498
Manual PID,load_disturbance,load_step_0.1569_Nm,"T_L = 0 before 5 s, then 0.1569 N m",,0.0478739389534878,0.00025995915195817964,0.0,0.3181197564154193,0.0,0.0,5.982,0.0022018243405320785,10.24280250329377,0.0,12.599912084281675,0.9820000000000002,0.18644,0.013767,0.1569,0.0,5.0,0.03817651842324221,25.401531964585093
Optimized PID,load_disturbance,load_step_0.1569_Nm,"T_L = 0 before 5 s, then 0.1569 N m",,0.04614193844260597,0.0011579849806487895,7.49975522750603e-09,0.3029809705285193,8.660112717226047e-05,0.008660112717226047,6.433,0.00033190833201434175,7.435758266796481,0.0,12.600013060808838,1.4329999999999998,0.18644,0.013767,0.1569,0.0,5.0,0.03670217885813229,25.719888786335822
RL Direct Voltage Control,load_disturbance,load_step_0.1569_Nm,"T_L = 0 before 5 s, then 0.1569 N m",,0.0443750711970053,0.010467569196978865,0.0,0.2539635311921199,0.0,0.0,inf,15.031552991910162,12.0,0.5999400059994,10.70602431142109,inf,0.18644,0.013767,0.1569,0.0,5.0,0.03490333789728869,27.137041527631045
Manual PID,sensor_noise,noise_sigma_0.000,sigma = 0 rad/s,101.0,0.03817651842324221,0.00011397909891356004,0.0,0.2540542064259605,0.0,0.0,1.322,2.158820987935383e-07,10.24280250329377,0.0,12.599999991380132,,0.18644,0.013767,0.0,0.0,,0.03817651842324221,0.0
Optimized PID,sensor_noise,noise_sigma_0.000,sigma = 0 rad/s,101.0,0.03670217885813229,0.0006108587109045579,7.49975522750603e-09,0.24223774504433834,8.660112717226047e-05,0.008660112717226047,1.547,4.709601315635299e-10,6.001635261197194,0.0,12.600000000000694,,0.18644,0.013767,0.0,0.0,,0.03670217885813229,0.0
RL Direct Voltage Control,sensor_noise,noise_sigma_0.000,sigma = 0 rad/s,101.0,0.03490333789728869,0.007779457009577775,0.0,0.20157109127694683,0.0,0.0,inf,12.430303946984317,12.0,0.5999400059994,11.033781700315744,,0.18644,0.013767,0.0,0.0,,0.03490333789728869,0.0
Manual PID,sensor_noise,noise_sigma_0.000,sigma = 0 rad/s,102.0,0.03817651842324221,0.00011397909891356004,0.0,0.2540542064259605,0.0,0.0,1.322,2.158820987935383e-07,10.24280250329377,0.0,12.599999991380132,,0.18644,0.013767,0.0,0.0,,0.03817651842324221,0.0
Optimized PID,sensor_noise,noise_sigma_0.000,sigma = 0 rad/s,102.0,0.03670217885813229,0.0006108587109045579,7.49975522750603e-09,0.24223774504433834,8.660112717226047e-05,0.008660112717226047,1.547,4.709601315635299e-10,6.001635261197194,0.0,12.600000000000694,,0.18644,0.013767,0.0,0.0,,0.03670217885813229,0.0
RL Direct Voltage Control,sensor_noise,noise_sigma_0.000,sigma = 0 rad/s,102.0,0.03490333789728869,0.007779457009577775,0.0,0.20157109127694683,0.0,0.0,inf,12.430303946984317,12.0,0.5999400059994,11.033781700315744,,0.18644,0.013767,0.0,0.0,,0.03490333789728869,0.0
Manual PID,sensor_noise,noise_sigma_0.000,sigma = 0 rad/s,103.0,0.03817651842324221,0.00011397909891356004,0.0,0.2540542064259605,0.0,0.0,1.322,2.158820987935383e-07,10.24280250329377,0.0,12.599999991380132,,0.18644,0.013767,0.0,0.0,,0.03817651842324221,0.0
Optimized PID,sensor_noise,noise_sigma_0.000,sigma = 0 rad/s,103.0,0.03670217885813229,0.0006108587109045579,7.49975522750603e-09,0.24223774504433834,8.660112717226047e-05,0.008660112717226047,1.547,4.709601315635299e-10,6.001635261197194,0.0,12.600000000000694,,0.18644,0.013767,0.0,0.0,,0.03670217885813229,0.0
RL Direct Voltage Control,sensor_noise,noise_sigma_0.000,sigma = 0 rad/s,103.0,0.03490333789728869,0.007779457009577775,0.0,0.20157109127694683,0.0,0.0,inf,12.430303946984317,12.0,0.5999400059994,11.033781700315744,,0.18644,0.013767,0.0,0.0,,0.03490333789728869,0.0
Manual PID,sensor_noise,noise_sigma_0.000,sigma = 0 rad/s,104.0,0.03817651842324221,0.00011397909891356004,0.0,0.2540542064259605,0.0,0.0,1.322,2.158820987935383e-07,10.24280250329377,0.0,12.599999991380132,,0.18644,0.013767,0.0,0.0,,0.03817651842324221,0.0
Optimized PID,sensor_noise,noise_sigma_0.000,sigma = 0 rad/s,104.0,0.03670217885813229,0.0006108587109045579,7.49975522750603e-09,0.24223774504433834,8.660112717226047e-05,0.008660112717226047,1.547,4.709601315635299e-10,6.001635261197194,0.0,12.600000000000694,,0.18644,0.013767,0.0,0.0,,0.03670217885813229,0.0
RL Direct Voltage Control,sensor_noise,noise_sigma_0.000,sigma = 0 rad/s,104.0,0.03490333789728869,0.007779457009577775,0.0,0.20157109127694683,0.0,0.0,inf,12.430303946984317,12.0,0.5999400059994,11.033781700315744,,0.18644,0.013767,0.0,0.0,,0.03490333789728869,0.0
Manual PID,sensor_noise,noise_sigma_0.000,sigma = 0 rad/s,105.0,0.03817651842324221,0.00011397909891356004,0.0,0.2540542064259605,0.0,0.0,1.322,2.158820987935383e-07,10.24280250329377,0.0,12.599999991380132,,0.18644,0.013767,0.0,0.0,,0.03817651842324221,0.0
Optimized PID,sensor_noise,noise_sigma_0.000,sigma = 0 rad/s,105.0,0.03670217885813229,0.0006108587109045579,7.49975522750603e-09,0.24223774504433834,8.660112717226047e-05,0.008660112717226047,1.547,4.709601315635299e-10,6.001635261197194,0.0,12.600000000000694,,0.18644,0.013767,0.0,0.0,,0.03670217885813229,0.0
RL Direct Voltage Control,sensor_noise,noise_sigma_0.000,sigma = 0 rad/s,105.0,0.03490333789728869,0.007779457009577775,0.0,0.20157109127694683,0.0,0.0,inf,12.430303946984317,12.0,0.5999400059994,11.033781700315744,,0.18644,0.013767,0.0,0.0,,0.03490333789728869,0.0
Manual PID,sensor_noise,noise_sigma_0.005,sigma = 0.005 rad/s,101.0,0.03817726748472406,0.00011395822833045691,4.213006845313997e-09,0.25405927662982714,6.490767940170098e-05,0.006490767940170098,1.322,0.0024194205327712813,10.272508723785673,0.0,12.600745812351365,,0.18644,0.013767,0.0,0.005,,0.03817651842324221,0.0019621000363213635
Optimized PID,sensor_noise,noise_sigma_0.005,sigma = 0.005 rad/s,101.0,0.03670252474150515,0.0006108109910617157,8.104944012241424e-09,0.24224024080421414,9.002746254472256e-05,0.009002746254472256,1.547,0.0016444313478462705,6.028056413904097,0.0,12.60045825920016,,0.18644,0.013767,0.0,0.005,,0.03670217885813229,0.0009424055563479188
RL Direct Voltage Control,sensor_noise,noise_sigma_0.005,sigma = 0.005 rad/s,101.0,0.0349035121001025,0.007778823393303389,0.0,0.20157478709413645,0.0,0.0,inf,12.426954019694524,12.0,0.5999400059994,11.034738319854856,,0.18644,0.013767,0.0,0.005,,0.03490333789728869,0.0004991007287773064
Manual PID,sensor_noise,noise_sigma_0.005,sigma = 0.005 rad/s,102.0,0.03817711316488476,0.00011395185212787042,4.809161935041062e-09,0.25405827234211703,6.934812135192317e-05,0.006934812135192317,1.322,0.00035031593335524636,10.275562199097044,0.0,12.599676381287098,,0.18644,0.013767,0.0,0.005,,0.03817651842324221,0.0015578729206052952
Optimized PID,sensor_noise,noise_sigma_0.005,sigma = 0.005 rad/s,102.0,0.03670249372592028,0.0006107932976882691,9.453816268791428e-09,0.24224010255902167,9.723073726343654e-05,0.009723073726343654,1.547,0.0007288333652014663,6.0252639133707016,0.0,12.599912439012641,,0.18644,0.013767,0.0,0.005,,0.03670217885813229,0.0008578994429884995
RL Direct Voltage Control,sensor_noise,noise_sigma_0.005,sigma = 0.005 rad/s,102.0,0.0349035761088461,0.007779218108688767,0.0,0.20157363495755226,0.0,0.0,inf,12.430777346997461,12.0,0.5999400059994,11.033066275373269,,0.18644,0.013767,0.0,0.005,,0.03490333789728869,0.0006824893312814379
Manual PID,sensor_noise,noise_sigma_0.005,sigma = 0.005 rad/s,103.0,0.03817743527673678,0.00011399140433145165,4.884914201564159e-09,0.25406026141939575,6.989216123117212e-05,0.006989216123117212,1.322,0.001312673887697194,10.262121808226047,0.0,12.599960066063211,,0.18644,0.013767,0.0,0.005,,0.03817651842324221,0.0024016163140012266
Optimized PID,sensor_noise,noise_sigma_0.005,sigma = 0.005 rad/s,103.0,0.036702842116108164,0.000610883643358129,7.35504087614392e-09,0.2422420672755538,8.576153494512514e-05,0.008576153494512514,1.547,0.0010416151777576262,6.025663767348417,0.0,12.600072406589659,,0.18644,0.013767,0.0,0.005,,0.03670217885813229,0.0018071351524891312
RL Direct Voltage Control,sensor_noise,noise_sigma_0.005,sigma = 0.005 rad/s,103.0,0.03490327906992146,0.00777822281052183,0.0,0.20157563589072244,0.0,0.0,inf,12.42903959891555,12.0,0.5999400059994,11.033757210394285,,0.18644,0.013767,0.0,0.005,,0.03490333789728869,-0.00016854367167009387
Manual PID,sensor_noise,noise_sigma_0.005,sigma = 0.005 rad/s,104.0,0.038177351894546005,0.00011397395113506214,3.431904663264816e-09,0.25405977777259203,5.858246037223783e-05,0.005858246037223783,1.323,0.0006473549075698274,10.26382441141892,0.0,12.599643615606725,,0.18644,0.013767,0.0,0.005,,0.03817651842324221,0.002183204069457191
Optimized PID,sensor_noise,noise_sigma_0.005,sigma = 0.005 rad/s,104.0,0.03670285308298278,0.0006108521605411562,1.145142571852156e-08,0.24224225949201106,0.00010701133453294357,0.010701133453294357,1.547,0.0004074827857288308,6.0256978062748985,0.0,12.599766077272118,,0.18644,0.013767,0.0,0.005,,0.03670217885813229,0.00183701587063167
