test_group,condition_label,Manual PID,Optimized PID,RL Direct Voltage Control
inertia,J_m = 0.8 J0,-1.129242031924916,-1.0373681914180162,-0.7500672982131407
inertia,J_m = 1.2 J0,1.1800380090415388,1.1303441679967459,0.7489822645289498
inertia,J_m = J0,0.0,0.0,0.0
load_disturbance,"T_L = 0 before 5 s, then 0.1569 N m",25.401531964585093,25.719888786335822,27.137041527631045
nominal,Nominal,0.0,0.0,0.0
resistance,R = 0.8 R0,-33.58243141010374,-33.514683510716935,-30.12421125624692
resistance,R = 1.2 R0,40.22165830153131,39.698524015847454,33.937738953646296
resistance,R = R0,0.0,0.0,0.0
sensor_noise,sigma = 0 rad/s,0.0,0.0,0.0
sensor_noise,sigma = 0.005 rad/s,0.0018309074071644264,0.0011687975632237735,0.0002081546477835641
sensor_noise,sigma = 0.01 rad/s,0.005276674908500263,0.002603855462662823,0.001586209151523374
