test_group,condition,condition_label,Controller,J_total,J_tracking,J_overshoot,J_control,overshoot_percent,settling_time,steady_state_error_percent,voltage_max_abs,saturation_percent,omega_final,disturbance_recovery_time,performance_degradation_percent,J_total_std,J_tracking_std,J_overshoot_std,J_control_std,overshoot_percent_std,settling_time_std,steady_state_error_percent_std,voltage_max_abs_std,saturation_percent_std,omega_final_std,disturbance_recovery_time_std,performance_degradation_percent_std
inertia,J_0.8x,J_m = 0.8 J0,Manual PID,0.0377454131308814,0.00010905324268802277,0.0,0.25119987456845727,0.0,1.455,6.556800252655743e-07,10.20119530968786,0.0,12.599999971924326,,-1.129242031924916,,,,,,,,,,,,
inertia,J_0.8x,J_m = 0.8 J0,Optimized PID,0.03632144212910068,0.0005700426950822384,0.0,0.2398627767470089,0.0,1.78,8.51244295510754e-08,5.99993530960281,0.0,12.59999999710773,,-1.0373681914180162,,,,,,,,,,,,
inertia,J_0.8x,J_m = 0.8 J0,RL Direct Voltage Control,0.03464153937373629,0.007762424648361471,0.0,0.19989389723146272,0.0,inf,12.430303951257978,12.0,0.52994700529947,11.033781697993971,,-0.7500672982131407,,,,,,,,,,,,
inertia,J_1.0x,J_m = J0,Manual PID,0.03817651842324221,0.00011397909891356004,0.0,0.2540542064259605,0.0,1.322,2.158820987935383e-07,10.24280250329377,0.0,12.599999991380132,,0.0,,,,,,,,,,,,
inertia,J_1.0x,J_m = J0,Optimized PID,0.03670217885813229,0.0006108587109045579,7.49975522750603e-09,0.24223774504433834,0.008660112717226047,1.547,4.709601315635299e-10,6.001635261197194,0.0,12.600000000000694,,0.0,,,,,,,,,,,,
inertia,J_1.0x,J_m = J0,RL Direct Voltage Control,0.03490333789728869,0.007779457009577775,0.0,0.20157109127694683,0.0,inf,12.430303946984317,12.0,0.5999400059994,11.033781700315744,,0.0,,,,,,,,,,,,
inertia,J_1.2x,J_m = 1.2 J0,Manual PID,0.038627015851165215,0.00012321987381967887,0.0,0.25702055951248937,0.0,1.1400000000000001,4.677953967753666e-08,10.28809419723466,0.0,12.599999998299099,,1.1800380090415388,,,,,,,,,,,,
inertia,J_1.2x,J_m = 1.2 J0,Optimized PID,0.03711703979638292,0.0006663460632660646,3.77064026208142e-05,0.24471870371845386,0.6140553934362453,1.363,3.794903016168541e-08,6.1004493260905885,0.0,12.599999997942142,,1.1303441679967459,,,,,,,,,,,,
inertia,J_1.2x,J_m = 1.2 J0,RL Direct Voltage Control,0.03516475770786799,0.007800132570301733,0.0,0.20323118777124635,0.0,inf,12.430303944386676,12.0,0.64993500649935,11.033781703602775,,0.7489822645289498,,,,,,,,,,,,
load_disturbance,load_step_0.1569_Nm,"T_L = 0 before 5 s, then 0.1569 N m",Manual PID,0.0478739389534878,0.00025995915195817964,0.0,0.3181197564154193,0.0,5.982,0.0022018243405320785,10.24280250329377,0.0,12.599912084281675,0.9820000000000002,25.401531964585093,,,,,,,,,,,,
load_disturbance,load_step_0.1569_Nm,"T_L = 0 before 5 s, then 0.1569 N m",Optimized PID,0.04614193844260597,0.0011579849806487895,7.49975522750603e-09,0.3029809705285193,0.008660112717226047,6.433,0.00033190833201434175,7.435758266796481,0.0,12.600013060808838,1.4329999999999998,25.719888786335822,,,,,,,,,,,,
load_disturbance,load_step_0.1569_Nm,"T_L = 0 before 5 s, then 0.1569 N m",RL Direct Voltage Control,0.0443750711970053,0.010467569196978865,0.0,0.2539635311921199,0.0,inf,15.031552991910162,12.0,0.5999400059994,10.70602431142109,inf,27.137041527631045,,,,,,,,,,,,
nominal,nominal,Nominal,Manual PID,0.03817651842324221,0.00011397909891356004,0.0,0.2540542064259605,0.0,1.322,2.158820987935383e-07,10.24280250329377,0.0,12.599999991380132,,0.0,,,,,,,,,,,,
nominal,nominal,Nominal,Optimized PID,0.03670217885813229,0.0006108587109045579,7.49975522750603e-09,0.24223774504433834,0.008660112717226047,1.547,4.709601315635299e-10,6.001635261197194,0.0,12.600000000000694,,0.0,,,,,,,,,,,,
nominal,nominal,Nominal,RL Direct Voltage Control,0.03490333789728869,0.007779457009577775,0.0,0.20157109127694683,0.0,inf,12.430303946984317,12.0,0.5999400059994,11.033781700315744,,0.0,,,,,,,,,,,,
resistance,R_0.8x,R = 0.8 R0,Manual PID,0.02535591530899128,7.338212751828037e-05,0.0,0.1687459068832021,0.0,1.123,6.00994386532182e-08,10.23666774646332,0.0,12.599999997764815,,-33.58243141010374,,,,,,,,,,,,
resistance,R_0.8x,R = 0.8 R0,Optimized PID,0.02440155977229199,0.00041207132496927216,2.111681781721379e-06,0.16102526037909998,0.14531626824693025,1.177,2.7702707852551525e-11,4.881205578689618,0.0,12.599999999998927,,-33.514683510716935,,,,,,,,,,,,
resistance,R_0.8x,R = 0.8 R0,RL Direct Voltage Control,0.024388982653627753,0.005754049332058491,0.0,0.1395770203626177,0.0,inf,10.693220446443826,12.0,0.58994100589941,11.2526542251109,,-30.12421125624692,,,,,,,,,,,,
